AE 460 Experimental Design Lab


Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
#, ND, [in], [psia], [R], [slug/ft3], [slug/ft s], [RPM], [deg], [dpsi], [ft/s], ND, [Lbf], [Lbf], [in-Lbf]

1.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,-10.00181720596,0.01967655536,50.19510269165,24645.91796875000,0.01983618470,-0.02491455394,-0.09834768951
2.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,-8.07917710694,0.01916840320,49.54271316528,24325.59179687500,0.03401780663,-0.01772167637,-0.07750265799
3.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,-6.10465048121,0.01891275252,49.21122741699,24162.83203125000,0.04636005136,-0.01444286592,-0.05765965650
4.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,-4.03182331578,0.01931400453,49.73051834106,24417.80468750000,0.06968918947,-0.01099507557,-0.04056209184
5.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,-1.98854226564,0.01896594312,49.28038024902,24196.78515625000,0.07873183247,-0.00722682324,-0.02092214594
6.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,0.01079490864,0.01961287417,50.11381149292,24606.00195312500,0.09712882613,-0.00232484160,-0.00166507627
7.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,1.95774061104,0.01915449886,49.52474212646,24316.76757812500,0.11486380693,0.00135839100,0.01789643687
8.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,4.03902901965,0.01918170212,49.55989837646,24334.02929687500,0.12858493018,0.00422300973,0.04048209861
9.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,5.93941059024,0.01923666321,49.63084793091,24368.86718750000,0.14902200205,0.01090406771,0.06600098162
10.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,8.06462922754,0.01862525361,48.83575820923,23978.47656250000,0.16325751649,0.01628986278,0.08886022170
11.00000000000,0.90700000000,1.00000000000,14.28755350000,533.07000000000,0.00224915215,0.00000038173,0.00000000000,9.93905388761,0.01906062800,49.40324020386,24257.11132812500,0.18146554174,0.02123990497,0.11703689660
