Velocity Profile of Model Wake

q Corr Factor,  0.907

Atm Press [Pa],  98510.000

Atm Temp [C],  21.000

Density [kg/m^3],  1.167

Average Tunnel Velocity [m/s],  20.143

Streamwise location [mm],66.700


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  18.003,  0.130,  17.698,  0.256
-58.000,  18.006,  0.125,  17.680,  0.273
-56.000,  18.013,  0.105,  17.747,  0.264
-54.000,  17.991,  0.137,  17.710,  0.287
-52.000,  17.989,  0.129,  17.667,  0.317
-50.000,  17.999,  0.116,  17.690,  0.348
-48.000,  17.981,  0.128,  17.598,  0.397
-46.000,  18.021,  0.128,  17.605,  0.443
-44.000,  17.983,  0.143,  17.482,  0.496
-42.000,  18.003,  0.153,  17.588,  0.579
-40.000,  18.039,  0.174,  17.596,  0.665
-38.000,  18.034,  0.178,  17.506,  0.733
-36.000,  18.091,  0.215,  17.423,  0.881
-34.000,  18.095,  0.252,  17.436,  1.037
-32.000,  18.098,  0.316,  17.357,  1.275
-30.000,  18.129,  0.412,  17.372,  1.519
-28.000,  18.138,  0.557,  17.453,  1.875
-26.000,  18.085,  0.694,  17.318,  2.182
-24.000,  17.958,  0.800,  17.165,  2.497
-22.000,  17.704,  1.010,  16.967,  2.834
-20.000,  17.485,  1.083,  16.743,  3.135
-18.000,  17.297,  1.115,  16.679,  3.472
-16.000,  16.916,  1.250,  16.557,  3.731
-14.000,  16.689,  1.272,  16.383,  4.037
-12.000,  16.159,  1.350,  16.056,  4.401
-10.000,  15.538,  1.415,  15.876,  4.606
-8.000,  14.820,  1.565,  15.701,  4.688
-6.000,  13.843,  1.859,  15.473,  4.787
-4.000,  13.209,  2.183,  15.280,  4.753
-2.000,  11.852,  2.701,  15.090,  4.475
0.000,  11.775,  2.837,  14.924,  4.363
2.000,  11.181,  3.443,  14.778,  4.279
4.000,  11.362,  3.089,  14.807,  4.285
6.000,  12.706,  2.337,  14.935,  4.364
8.000,  13.747,  1.899,  15.016,  4.588
10.000,  14.610,  1.649,  15.225,  4.677
12.000,  15.232,  1.524,  15.393,  4.769
14.000,  16.019,  1.418,  15.631,  4.648
16.000,  16.482,  1.346,  15.838,  4.533
18.000,  16.912,  1.250,  15.907,  4.322
20.000,  17.294,  1.182,  16.237,  4.130
22.000,  17.549,  1.151,  16.382,  3.767
24.000,  17.800,  1.071,  16.607,  3.338
26.000,  17.960,  0.905,  16.680,  3.027
28.000,  18.140,  0.840,  16.842,  2.808
30.000,  18.256,  0.646,  16.955,  2.442
32.000,  18.315,  0.505,  17.061,  2.079
34.000,  18.342,  0.403,  17.136,  1.793
36.000,  18.351,  0.328,  17.203,  1.455
38.000,  18.357,  0.234,  17.266,  1.216
40.000,  18.327,  0.201,  17.228,  1.030
42.000,  18.323,  0.182,  17.255,  0.842
44.000,  18.264,  0.163,  17.204,  0.734
46.000,  18.292,  0.151,  17.210,  0.633
48.000,  18.272,  0.162,  17.167,  0.559
50.000,  18.307,  0.146,  17.206,  0.483
52.000,  18.278,  0.120,  17.135,  0.420
54.000,  18.303,  0.110,  17.103,  0.367
56.000,  18.335,  0.119,  17.025,  0.340
58.000,  18.415,  0.095,  16.968,  0.280
60.000,  18.283,  0.103,  16.892,  0.247
