Velocity Profile of Model Wake

q Corr Factor,  0.907

Atm Press [Pa],  98510.000

Atm Temp [C],  21.000

Density [kg/m^3],  1.167

Average Tunnel Velocity [m/s],  20.295

Streamwise location [mm],161.900


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  18.252,  0.151,  18.343,  0.364
-58.000,  18.281,  0.126,  18.418,  0.347
-56.000,  18.322,  0.136,  18.511,  0.372
-54.000,  18.245,  0.146,  18.400,  0.471
-52.000,  18.313,  0.170,  18.425,  0.532
-50.000,  18.299,  0.198,  18.349,  0.601
-48.000,  18.245,  0.251,  18.245,  0.709
-46.000,  18.290,  0.270,  18.327,  0.863
-44.000,  18.249,  0.308,  18.248,  1.051
-42.000,  18.299,  0.359,  18.270,  1.099
-40.000,  18.155,  0.441,  18.150,  1.243
-38.000,  18.175,  0.486,  18.114,  1.413
-36.000,  17.887,  0.657,  18.040,  1.548
-34.000,  18.074,  0.584,  17.973,  1.704
-32.000,  18.012,  0.649,  17.951,  1.891
-30.000,  18.009,  0.673,  17.941,  2.002
-28.000,  17.896,  0.704,  17.828,  2.182
-26.000,  17.841,  0.790,  17.783,  2.293
-24.000,  17.739,  0.798,  17.647,  2.466
-22.000,  17.669,  0.885,  17.639,  2.690
-20.000,  17.392,  0.936,  17.273,  2.803
-18.000,  17.348,  0.963,  16.974,  2.948
-16.000,  17.143,  1.050,  16.839,  3.147
-14.000,  16.880,  1.137,  16.610,  3.280
-12.000,  16.355,  1.277,  16.323,  3.384
-10.000,  15.951,  1.350,  16.192,  3.521
-8.000,  15.712,  1.535,  16.025,  3.642
-6.000,  15.373,  1.623,  15.642,  3.640
-4.000,  14.990,  1.792,  15.336,  3.673
-2.000,  14.361,  2.061,  15.189,  3.687
0.000,  14.198,  2.013,  15.090,  3.696
2.000,  14.203,  2.126,  14.881,  3.675
4.000,  13.945,  2.065,  14.894,  3.631
6.000,  14.333,  1.976,  15.064,  3.648
8.000,  14.488,  1.900,  14.901,  3.737
10.000,  14.806,  1.935,  15.172,  3.650
12.000,  15.002,  1.676,  15.396,  3.685
14.000,  15.587,  1.554,  15.623,  3.683
16.000,  16.022,  1.381,  15.978,  3.628
18.000,  16.417,  1.283,  16.418,  3.526
20.000,  16.673,  1.202,  16.550,  3.360
22.000,  16.963,  1.107,  16.766,  3.243
24.000,  17.112,  1.007,  17.037,  3.192
26.000,  17.477,  0.926,  17.276,  3.056
28.000,  17.521,  0.905,  17.525,  2.842
30.000,  17.655,  0.830,  17.625,  2.733
32.000,  17.745,  0.774,  17.745,  2.503
34.000,  17.857,  0.732,  17.856,  2.344
36.000,  18.001,  0.666,  17.880,  2.239
38.000,  18.058,  0.629,  17.977,  2.044
40.000,  18.101,  0.579,  18.107,  1.893
42.000,  18.183,  0.557,  18.212,  1.753
44.000,  18.267,  0.466,  18.247,  1.657
46.000,  18.306,  0.412,  18.393,  1.468
48.000,  18.293,  0.381,  18.447,  1.277
50.000,  18.400,  0.320,  18.550,  1.102
52.000,  18.442,  0.278,  18.590,  1.034
54.000,  18.417,  0.240,  18.641,  0.884
56.000,  18.432,  0.192,  18.688,  0.777
58.000,  18.440,  0.172,  18.692,  0.675
60.000,  18.459,  0.154,  18.778,  0.542
