Velocity Profile of Model Wake

q Corr Factor,  0.907

Atm Press [Pa],  98510.000

Atm Temp [C],  21.000

Density [kg/m^3],  1.167

Average Tunnel Velocity [m/s],  20.317

Streamwise location [mm],104.800


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  18.124,  0.127,  18.527,  0.283
-58.000,  18.143,  0.133,  18.602,  0.287
-56.000,  18.178,  0.123,  18.669,  0.297
-54.000,  18.213,  0.122,  18.740,  0.325
-52.000,  18.171,  0.122,  18.674,  0.351
-50.000,  18.227,  0.136,  18.756,  0.412
-48.000,  18.187,  0.140,  18.674,  0.487
-46.000,  18.245,  0.157,  18.826,  0.563
-44.000,  18.231,  0.199,  18.856,  0.666
-42.000,  18.275,  0.209,  18.780,  0.818
-40.000,  18.270,  0.272,  18.825,  0.999
-38.000,  18.185,  0.339,  18.647,  1.165
-36.000,  18.276,  0.393,  18.765,  1.388
-34.000,  18.259,  0.471,  18.700,  1.586
-32.000,  18.170,  0.565,  18.564,  1.822
-30.000,  18.057,  0.677,  18.528,  2.065
-28.000,  18.041,  0.721,  18.481,  2.251
-26.000,  17.906,  0.778,  18.424,  2.480
-24.000,  17.814,  0.849,  18.308,  2.781
-22.000,  17.728,  0.901,  18.259,  3.014
-20.000,  17.544,  0.954,  18.157,  3.308
-18.000,  17.424,  0.984,  18.166,  3.454
-16.000,  17.234,  1.091,  17.774,  3.759
-14.000,  16.966,  1.166,  17.715,  3.937
-12.000,  16.645,  1.244,  17.599,  4.142
-10.000,  15.964,  1.459,  17.314,  4.379
-8.000,  15.592,  1.574,  16.896,  4.438
-6.000,  14.963,  1.732,  16.481,  4.577
-4.000,  14.373,  1.975,  16.134,  4.626
-2.000,  13.861,  2.114,  16.363,  4.437
0.000,  13.358,  2.533,  15.967,  4.423
2.000,  13.187,  2.501,  15.803,  4.343
4.000,  13.097,  2.537,  15.673,  4.403
6.000,  13.879,  2.344,  15.863,  4.420
8.000,  14.144,  2.187,  16.198,  4.471
10.000,  14.942,  1.833,  16.333,  4.558
12.000,  15.506,  1.598,  16.426,  4.583
14.000,  16.086,  1.439,  16.984,  4.567
16.000,  16.632,  1.331,  17.134,  4.392
18.000,  16.969,  1.230,  17.515,  4.198
20.000,  17.371,  1.145,  17.716,  4.042
22.000,  17.518,  1.036,  17.764,  3.846
24.000,  17.449,  1.045,  17.807,  3.546
26.000,  17.643,  0.929,  18.091,  3.307
28.000,  17.822,  0.905,  18.247,  3.082
30.000,  17.883,  0.827,  18.200,  2.879
32.000,  17.985,  0.756,  18.422,  2.575
34.000,  18.071,  0.703,  18.449,  2.379
36.000,  18.197,  0.577,  18.603,  2.103
38.000,  18.302,  0.524,  18.665,  1.958
40.000,  18.299,  0.429,  18.736,  1.700
42.000,  18.379,  0.332,  18.747,  1.449
44.000,  18.375,  0.266,  18.769,  1.219
46.000,  18.426,  0.222,  18.874,  1.038
48.000,  18.411,  0.193,  18.770,  0.859
50.000,  18.394,  0.167,  18.785,  0.739
52.000,  18.382,  0.147,  18.861,  0.597
54.000,  18.412,  0.140,  18.900,  0.523
56.000,  18.375,  0.126,  18.859,  0.438
58.000,  18.372,  0.112,  18.851,  0.381
60.000,  18.343,  0.101,  18.831,  0.315
